Project Id;Region;Country;Project Status;project_name;Project Development Objective;Implementing Agency;Consultant Services Required;Project URL;Board Approval Date;Project Closing Date;Financing Type;Current Project Cost
P161402;South Asia;Islamic Republic of Pakistan;Active;Competitive and Livable City of Karachi Project;To improve urban management, service delivery and the business environment in Karachi;Excise & Taxation Department, Government of Sindh, Investment Department, Government of Sindh, Local Government Department, Government of Sindh, Province of Sindh;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P161402;2019-06-27T00:00:00Z;2024-06-30T00:00:00Z;;0
P163562;South Asia;Islamic Republic of Pakistan;Active;Khyber Pakhtunkhwa Integrated Tourism Development Project;The project development objective is to improve tourism-enabling infrastructure, enhance tourism assets, and strengthen destination management for sustainable tourism development in Khyber Pakhtunkhwa.;Communication and Works Department, Department of Tourism, Culture, Sports, Archeology & Youth Affairs;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P163562;2019-06-27T00:00:00Z;2025-06-30T00:00:00Z;;0
P164704;South Asia;Islamic Republic of Pakistan;Active;Karachi Water and Sewerage Services Improvement Project (KWSSIP);The Project Development Objective is to improve access to safe water services in Karachi and to increase KWSB’s financial and operat ional performance.;Province of Sindh through the Karachi Water and Sewerage Board (KWSB);;https://projects.worldbank.org/en/projects-operations/project-detail/P164704;2019-06-27T00:00:00Z;2025-06-30T00:00:00Z;;0
P164938;East Asia and Pacific;Socialist Republic of Vietnam;Active;Vietnam Scaling Up Energy Efficiency Project;The Project Development Objective is to improve energy efficiency in Vietnam's industrial sector.;Department of Energy Efficiency and Sustainable Development , Ministry of Industry and Trade;;https://projects.worldbank.org/en/projects-operations/project-detail/P164938;2019-06-27T00:00:00Z;;;0
P169637;East Asia and Pacific;Republic of the Philippines;Active;Social Welfare Development and Reform Project II Additional Financing;To support the Conditional Cash Transfer Program of DSWD to improve the use of health and education services by poor children;DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P169637;2019-06-27T00:00:00Z;;;0
P170469;Latin America and Caribbean;Republic of Honduras;Active;TEGUCIGALPA: WATER SUPPLY STRENGTHENING PROJECT;The Project Development Objective (PDO) is to increase the efficiency and reliability of water services in selected areas of Tegucig alpa.;Municipality of Tegucigalpa (AMDC);;https://projects.worldbank.org/en/projects-operations/project-detail/P170469;2019-06-27T00:00:00Z;2025-01-15T00:00:00Z;;0
P170502;Africa West;Republic of Cote d'Ivoire;Active;Urban Water Supply and Sanitation Project;The revised project development objective is: to increase access and quality of water services and access to sanitation in selectedu rban areas, and to improve planning and monitoring of the urban water sector.;Cellule de Coordination du PRICI (CC-PRICI) - PREMU;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P170502;2019-06-27T00:00:00Z;;;0
P166170;Africa East;Kingdom of Eswatini;Active;Network Reinforcement and Access Project;To improve the reliability of electricity supply and increase access to electricity services in targeted areas of the Borrower.;Eswatini Electricity Company;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P166170;2019-06-27T00:00:00Z;2024-10-31T00:00:00Z;;0
P166732;South Asia;Islamic Republic of Pakistan;Active;Karachi Mobility Project;The Project Development Objective is to improve mobility, accessibility and safety along selected corridors in Karachi.;Province of Sindh;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P166732;2019-06-27T00:00:00Z;2025-12-31T00:00:00Z;;0
P168385;Latin America and Caribbean;Republic of Honduras;Active;Integrating Innovation for Rural Competitiveness in Honduras - COMRURAL II;The PDO is to improve access to markets and climate-smart practices and contribute to the economic inclusion of targeted beneficiari es in select agricultural value chains.;Inversion Estrategica - Honduras (INVEST-H);;https://projects.worldbank.org/en/projects-operations/project-detail/P168385;2019-06-27T00:00:00Z;2024-09-30T00:00:00Z;;0
P165543;East Asia and Pacific;Republic of Indonesia;Active;Institutional Strengthening for Improved Village Service Delivery;To strengthen institutional capacity for improved quality of spending in participating villages.;Ministry of Home Affairs, National Development Planning Agency, Ministry of Villages, Disadvantaged Areas and Transmigration, Coordinating Ministry of Human Development and Culture;No;https://projects.worldbank.org/en/projects-operations/project-detail/P165543;2019-06-26T00:00:00Z;2024-12-31T00:00:00Z;;0
P168076;East Asia and Pacific;Republic of Indonesia;Active;Realizing  Education's  Promise:  Support to Indonesia's Ministry of Religious Affairs for Improved Quality of Education;To improve the management of primary and secondary education services under the Ministry of Religious Affairs (MoRA).;Ministry of Religious Affairs;;https://projects.worldbank.org/en/projects-operations/project-detail/P168076;2019-06-26T00:00:00Z;2024-12-31T00:00:00Z;;0
P170529;Middle East and North Africa;Hashemite Kingdom of Jordan;Active;Jordan Emergency Health Project Additional Financing;The Project development objective (PDO) is to support the Government of Jordan in maintaining the delivery of primary and secondary health services to poor uninsured Jordanians and Syrian refugees at Ministry of Health facilities.;Ministry of Planning and International Cooperation;;https://projects.worldbank.org/en/projects-operations/project-detail/P170529;2019-06-24T00:00:00Z;;;0
P168273;Middle East and North Africa;Republic of Tunisia;Active;Tunisia Energy Sector Improvement Project;"The Project Development Objective (PDO) is to: (i) strengthen Tunisia’s electricity transmission system; and (ii) improve STEG’s com mercial performance.";STEG;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P168273;2019-06-24T00:00:00Z;2024-06-30T00:00:00Z;;0
P164242;Africa West;Republic of Mali;Active;Mali Governance of Mining Sector;The objective is to strengthen the capacity of the mining sector to contribute to Mali’s medium-term growth and sustainable developm ent objectives.;Ministere des Mines et du Pétrole;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P164242;2019-06-21T00:00:00Z;2024-06-30T00:00:00Z;;0
P164297;Africa West;Republic of Chad;Active;Chad Skills Development for Youth Employability Project;The project development objective (PDO) is to improve access to skills training and labor market outcomes for project beneficiaries,  and strengthen the technical and vocational education and training (TVET) sector in Chad;Ministere de l'Economie et de la Planification du Developpement, Ministere de l'Education Nationale et de la Promotion Civique, Ministere de la Formation Professionnelle et des Petits Metiers;;https://projects.worldbank.org/en/projects-operations/project-detail/P164297;2019-06-21T00:00:00Z;2024-10-31T00:00:00Z;;0
P166796;Africa West;Republic of Mali;Active;Mali Electricity Sector  Improvement Project (MESIP);The Project Development Objectives are to improve (i) the reliability and efficiency of electricity supply in Bamako and (ii) the te chnical and commercial performance of EDM.;Energie du Mali - S.A;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P166796;2019-06-21T00:00:00Z;2025-01-31T00:00:00Z;;0
P163474;South Asia;Islamic Republic of Pakistan;Active;Khyber Pakhtunkhwa Irrigated-Agriculture Improvement Project;To improve the performance of irrigated agriculture for farmers in the project area.;Department of Agriculture, Government of Khyber Pukhthukhwa;;https://projects.worldbank.org/en/projects-operations/project-detail/P163474;2019-06-20T00:00:00Z;2025-12-31T00:00:00Z;;0
P164331;Africa East;Republic of Malawi;Active;Malawi - Electricity Access Project;The development objective of the project is to increase access to electricity in Malawi.;Ministry of Natural Resources Energy & Mining, Electricity Supply Corporation of Malawi, Ltd.;;https://projects.worldbank.org/en/projects-operations/project-detail/P164331;2019-06-20T00:00:00Z;2024-06-30T00:00:00Z;;0
P164509;Africa West;Republic of Niger;Active;AGRICULTURAL AND LIVESTOCK TRANSFORMATION PROJECT;The Project Development Objective (PDO) is “to increase agriculture productivity and access to markets for small and medium farmers and agri-food small and medium enterprises in the Participating Project Regions.”;Ministry of Agriculture and Livestock, National Coordination Unit of the PIMELAN, Unite de mise en oeuvre du PGRCDU;;https://projects.worldbank.org/en/projects-operations/project-detail/P164509;2019-06-20T00:00:00Z;2025-12-22T00:00:00Z;;0
P167619;Middle East and North Africa;Kingdom of Morocco;Active;Education Support Program;To establish an enabling environment for quality Early Childhood Education service delivery, support improved teaching practices in primary and secondary education, and strengthen management capacity and accountability along the education service delivery chain in  the Program Areas.;Ministry of Education, Minister of Economy and Finance;No;https://projects.worldbank.org/en/projects-operations/project-detail/P167619;2019-06-20T00:00:00Z;2024-09-01T00:00:00Z;;0
P168052;Europe and Central Asia;Republic of Tajikistan;Active;Tajikistan Socio-Economic Resilience Strengthening Project;The development objectives of this project are to strengthen participatory local governance, improve the quality of local infrastruc ture, both in targeted communities, and increase extracurricular or livelihood opportunities for youth.;National Social Investment Fund of Tajikistan;;https://projects.worldbank.org/en/projects-operations/project-detail/P168052;2019-06-20T00:00:00Z;2024-06-30T00:00:00Z;;0
P161283;East Asia and Pacific;Socialist Republic of Vietnam;Active;Investing and Innovating for Grassroots Health Service Delivery;The Project Development Objective is to improve the quality and utilization of grassroots health services, with a focus on the commu ne level, in the Project Provinces.;Ministry of Health, Ha Giang Department of Health, Bac Kan Department of Health, Son La Department of Health, Tra Vinh Department of Health, Hoa Binh Department of Health, Bac Lieu Department of Health, Hau Giang Department of Health, Ninh Thuan Department of Health, Quang Binh Department of Health, Quang Ngai Department of Health, Quang Tri Provincial Project Management Unit for Industrial and Civil Works, Long An Department of Health, Yen Bai Department of Health;;https://projects.worldbank.org/en/projects-operations/project-detail/P161283;2019-06-19T00:00:00Z;2024-12-31T00:00:00Z;;0
P169403;East Asia and Pacific;Republic of Indonesia;Active;Central Sulawesi Rehabilitation and Reconstruction Project;The PDO is to reconstruct and strengthen public facilities and safer housing in selected disaster-affected areas.;Ministry of Public Works and Housing;No;https://projects.worldbank.org/en/projects-operations/project-detail/P169403;2019-06-19T00:00:00Z;2024-06-30T00:00:00Z;;0
P166935;Latin America and Caribbean;Argentine Republic;Active;Metropolitan Buenos Aires Urban Transformation Project Additional Financing;The Project Development Objectives are to improve housing conditions and access to selected basic services and infrastructure in sel ected disadvantaged neighborhoods in the Buenos Aires Metropolitan Area (AMBA), and strengthen the institutional capacity for urban management at the metropolitan level.;Ministry of Infrastructure and Public Services, Province of Buenos Aires, Provincial Organization for Social and Urban Integration (OPISU), Province of Buenos Aires, Ministry of Economy and Finance, Autonomous City of Buenos Aires, General Secretariat, Autonomous City of Buenos Aires, Ministry of Economy, Province of Buenos Aires, Secretariat for Social and Urban Integration (SECISYU), Autonomous City of Buenos Aires, Province of Buenos Aires Housing Institute;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P166935;2019-06-18T00:00:00Z;;;0
P163818;South Asia;Republic of Maldives;Active;Maldives: Enhancing Employability and Resilience of Youth Project;The Project Development Objective (PDO) is to improve the relevance of technical and vocational skills and foster entrepreneurship t o promote youth employment in priority sectors.;Ministry of Higher Education;No;https://projects.worldbank.org/en/projects-operations/project-detail/P163818;2019-06-14T00:00:00Z;2024-12-31T00:00:00Z;;0
P164260;Europe and Central Asia;Republic of Belarus;Active;Belarus Utility Efficiency and Quality Improvement Project;The Project Development Objective (PDO) is to improve the quality and efficiency of water and wastewater services, and support the i ntroduction of regional solid waste management.;Ministry of Housing and Utilities;No;https://projects.worldbank.org/en/projects-operations/project-detail/P164260;2019-06-14T00:00:00Z;2025-03-31T00:00:00Z;;0
P165463;Africa East;Republic of Mozambique;Active;MZ - Additional Financing - Water Services and Institutional Support II;"The objectives of the Project are to: (i) Increase water service coverage in key cities of Mozambique's territory; (ii) Strengthen t he institutional and regulatory capacity for water supply services in the northern, central and southern regions of Mozambique's ter ritory; and (iii) Support Mozambique to respond promptly and effectively to an Eligible Crisis or Emergency.";FIPAG;;https://projects.worldbank.org/en/projects-operations/project-detail/P165463;2019-06-14T00:00:00Z;;;0
P167380;Middle East and North Africa;Republic of Tunisia;Active;Tunisia Innovative Startups and SMEs Project;The Project Development Objective is to increase access to finance and support the growth of innovative startups and small and mediu m enterprises;Caisse de Depots et de Consignations;;https://projects.worldbank.org/en/projects-operations/project-detail/P167380;2019-06-14T00:00:00Z;2026-12-31T00:00:00Z;;0
P167623;Africa West;Republic of Cote d'Ivoire;Active;Social Protection and Economic Inclusion Project (Productive Social Safety Net Additional Financing);To improve access to cash transfers and earnings opportunities among poor households and develop a social protection delivery system .;Ministry of Employment and Social Protection, Ministry of Solidarity and Poverty Reduction;;https://projects.worldbank.org/en/projects-operations/project-detail/P167623;2019-06-14T00:00:00Z;;;0
P168425;Middle East and North Africa;Republic of Tunisia;Active;Digital Transformation for User-Centric Public Services;The project development objective (PDO) is to improve equitable access to and the quality  and accountability of selected Social Pro tection, Education and Health services through a GovTech approach;Ministry of Information Technology and Communication, Ministry of Health, Ministry of Civil Service, Ministry of Education, Ministry of Social Affairs;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P168425;2019-06-14T00:00:00Z;2025-06-20T00:00:00Z;;0
P169031;Africa West;Republic of Liberia;Active;Liberia Urban Water Supply Project Additional Financing;The project development objective (PDO) is to increase access to piped water supply services in the project area in Monrovia and imp rove the operational efficiency of LWSC.;Liberia Water and Sewer Corporation;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P169031;2019-06-14T00:00:00Z;;;0
P162302;South Asia;Islamic Republic of Pakistan;Active;Khyber Pakhtunkhwa Revenue Mobilization and Public Resource Management;To increase the collection of Khyber Pakhtunkhwa's own source revenues and improve the management of public resources;Finance Department - Khyber Pakhtunkhwa;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P162302;2019-06-13T00:00:00Z;2024-12-31T00:00:00Z;;0
P164353;Africa West;Republic of Sierra Leone;Active;Integrated and Resilient Urban Mobility Project;The Project Development Objectives (PDO) are to improve quality public transport, address climate resilience, improve road safety in  selected areas and enhance institutional capacity in the transport sector.;Ministry of Transport and Aviation;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P164353;2019-06-13T00:00:00Z;2024-06-30T00:00:00Z;;0
P170384;Africa East;Federal Democratic Republic of Ethiopia;Active;ETHIOPIA CLIMATE ACTION THROUGH LANDSCAPE MANAGEMENT PROGRAM FOR RESULTS;The Program Development Objective (PDO) is to increase adoption of sustainable land management practices and to expand access to sec ure land tenure in non-rangeland rural areas.;Ministry of Agriculture;;https://projects.worldbank.org/en/projects-operations/project-detail/P170384;2019-06-13T00:00:00Z;2024-07-07T00:00:00Z;;0
P165982;South Asia;Islamic Republic of Pakistan;Active;Pakistan Raises Revenue;Contribute to a sustainable increase in domestic revenue by broadening the tax base and facilitating compliance;Federal Board of Revenue;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P165982;2019-06-13T00:00:00Z;2024-06-30T00:00:00Z;;0
P167794;Africa East;Federal Democratic Republic of Ethiopia;Active;One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA);To increase access to safe water supply, sanitation, and hygiene services and strengthen capacity for water resources management and  service delivery.;Water Deveolopment Commission, Ministry of Water, Irrigation and Energy, Ministry of Education, Ministry of Health;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P167794;2019-06-13T00:00:00Z;2025-01-07T00:00:00Z;;0
P163679;East Asia and Pacific;People's Republic of China;Active;China Renewable Energy and Battery Storage Promotion Project;The project development objective is to promote the integration and use of renewable energy through the deployment of battery storag e systems and innovative applications of renewable energy.;Huaxia Bank;;https://projects.worldbank.org/en/projects-operations/project-detail/P163679;2019-06-11T00:00:00Z;2025-06-30T00:00:00Z;;0
P160182;Africa East;Democratic Republic of the Congo;Active;Improved Forested Landscape Management Project (GEF AF);The project development objective is to test new approaches to improve community livelihoods and forested landscape management, andto reduce greenhouse gas emissions from deforestation and forest degradation in selected areas in the Recipient's territory.;Ministry of Environment, and Sustainable Development;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P160182;2019-06-07T00:00:00Z;2022-12-31T00:00:00Z;;0
P167598;Europe and Central Asia;Kyrgyz Republic;Active;Primary Health Care Quality Improvement Program;The Program Development Objective is to contribute to improving the quality of primary health care services in the Kyrgyz Republic.;Ministry of Health, Mandatory Health Insurance Fund;No;https://projects.worldbank.org/en/projects-operations/project-detail/P167598;2019-06-07T00:00:00Z;2024-12-31T00:00:00Z;;0
P165056;Africa East;Republic of Malawi;Active;MALAWI-Disaster Risk Management Development Policy Financing with Cat DDO;The overall objective is to strengthen the institutional and financial capacity of the Government of Malawi for multi-sectoral disas ter and climate risk management.;Ministry of Finance, Economic Planning, and Development;;https://projects.worldbank.org/en/projects-operations/project-detail/P165056;2019-06-06T00:00:00Z;2022-06-21T00:00:00Z;;0
P162833;Latin America and Caribbean;Republic of Peru;Active;Improving the Performance of Non-Criminal Justice Services;The Project’s development objective is to improve efficiency, access, transparency, and user satisfaction, in the delivery of adequa te non-criminal justice services.;Ministry of Justice and Human Rights, Judiciary of Peru;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P162833;2019-06-05T00:00:00Z;2024-09-30T00:00:00Z;;0
P163734;Europe and Central Asia;Republic of Tajikistan;Active;Dushanbe Water Supply and Wastewater Project;"The Project Development Objectives are: (a) to improve reliability of water supply and wastewater services in selected areas in Dush anbe City; and (b) to improve the operational performance of the Dushanbe Water Utility.";"State Unitary Entity ""Obu Korezi Dushanbe""";;https://projects.worldbank.org/en/projects-operations/project-detail/P163734;2019-06-05T00:00:00Z;2024-12-30T00:00:00Z;;0
P160628;Africa West;Republic of Cabo Verde;Active;Cabo Verde Disaster Risk Management Development Policy Financing with Cat DDO;"(a) Strengthening the institutional and legal framework to ensure risk-informed sectoral and territorial planning; and (b) Increasin g the financial capacity to manage impacts associated with disaster and climate-related shocks.";Ministério das Finanças;;https://projects.worldbank.org/en/projects-operations/project-detail/P160628;2019-06-05T00:00:00Z;2022-09-30T00:00:00Z;;0
P168130;Middle East and North Africa;Hashemite Kingdom of Jordan;Active;Jordan Second Equitable Growth & Job Creation Programmatic Development Policy Financing;The program development objective is to support Jordan to set foundations to: (i) reduce business costs and improve market accessibi lity, (ii) create more flexible and integrated labor markets and provide better and more efficient social assistance, and (iii) impr ove fiscal sustainability and take more informed decisions regarding risk.;Ministry of Planning and International Cooperation;;https://projects.worldbank.org/en/projects-operations/project-detail/P168130;2019-06-04T00:00:00Z;2021-12-31T00:00:00Z;;0
P161386;South Asia;Islamic Republic of Pakistan;Active;Higher Education Development in Pakistan;To support research excellence in strategic sectors of the economy, improve teaching and learning and strengthen governance, in the higher education sector.;Higher Education Commission;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P161386;2019-05-31T00:00:00Z;2024-06-30T00:00:00Z;;0
P167898;South Asia;South Asia;Active;Additional Financing for the Central Asia South Asia Electricity Transmission and Trade Project;The objective of the project is to create the conditions for sustainable electricity trade between the Central Asian countries ofTajikistan and Kyrgyz Republic and the South Asian countries of Afghanistan and Pakistan.;Da Afghanistan Breshna Sherkat, National Electric Grid of Kyrgyzstan, Barki Tajik, National Transmission and Despatch Company (NTDC);;https://projects.worldbank.org/en/projects-operations/project-detail/P167898;2019-05-31T00:00:00Z;;;0
P165228;Africa East;Kingdom of Lesotho;Active;Smallholder Agriculture Development Project - II;The development objective of the project is to support increased adoption of climate smart agricultural technologies in Lesotho's ag riculture, enhanced commercialization and improved dietary diversity among targeted beneficiaries.;Ministry of Agriculture and Food Security (MAFS);Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P165228;2019-05-30T00:00:00Z;2026-05-31T00:00:00Z;;0
P165344;East Asia and Pacific;Kingdom of Cambodia;Active;Cambodia Sustainable Landscape and Ecotourism Project;The Project Development Objective is to improve protected areas management, and to promote ecotourism opportunities and non-timber f orest product value chains in the Cardamom Mountains-Tonle Sap landscape.;Ministry of Environment, Ministry of Rural Development;;https://projects.worldbank.org/en/projects-operations/project-detail/P165344;2019-05-30T00:00:00Z;2025-12-31T00:00:00Z;;0
P166943;Africa West;Central African Republic;Active;"CAR: LONDO ""Stand Up"" Project";To provide temporary employment to vulnerable people and to facilitate access to basic services throughout the entire territory of t he Recepient, and to provide a response in the case of an eligible crisis or emergency.;Agence d'Execution des Travaux d'Interet Public en Centrafrique (AGETIP-CAF);TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P166943;2019-05-30T00:00:00Z;;;0
P167678;Africa West;Republic of Benin;Active;Gazetted Forests Management Project;To improve the integrated management of targeted Gazetted Forests, to increase access of the main consumption cities to fuelwood pro duced sustainably, and to strengthen selected non-timber forest product value chains for forest-dependent communities;Ministry of Environment and Sustainable Development;;https://projects.worldbank.org/en/projects-operations/project-detail/P167678;2019-05-30T00:00:00Z;2026-11-30T00:00:00Z;;0
P164330;Africa West;Republic of Ghana;Active;Greater Accra Resilient and Integrated Development Project;The objective of the project is to improve flood risk management and solid waste management in the Odaw River Basin of the Greater A ccra Region and improve access to basic infrastructure and services in the targeted communities within the Odaw River Basin.;Ministry of Works and Housing, Ministry of Inner City and Zongo Development, Ministry of Local Government and Rural Development, Ministry of Sanitation and Water Resources, Ministry of Health;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P164330;2019-05-29T00:00:00Z;2025-12-31T00:00:00Z;;0
P168119;Europe and Central Asia;Romania;Active;Improving Resilience and Emergency Response Project;The proposed Project Development Objective (PDO) is to enhance the resilience of Romanian Police Facilities that are critical to res pond to Emergency Situations and disasters and to strengthen the institutional capacities for emergency preparedness and response.;Ministry of Internal Affairs (General Inspectorate of Romanian Police);No;https://projects.worldbank.org/en/projects-operations/project-detail/P168119;2019-05-29T00:00:00Z;2025-12-31T00:00:00Z;;0
P168120;Europe and Central Asia;Romania;Active;Strengthening Preparedness and Critical Emergency Infrastructure Project;The objective of the Project is to enhance the resilience of Romanian Gendarmerie Facilities that are critical to respond to Emergen cy Situations and disasters and to strengthen the institutional capacities for emergency preparedness and response.;Ministry of Internal Affairs (General Inspectorate of the Romanian Gendarmerie);No;https://projects.worldbank.org/en/projects-operations/project-detail/P168120;2019-05-29T00:00:00Z;2025-12-31T00:00:00Z;;0
P168481;Europe and Central Asia;Georgia;Active;Georgia I2Q - Innovation, Inclusion and Quality;The project development objectives are to (i) expand access to preschool education and (ii) improve the quality of education and lea rning environments.;Ministry of Education, Science, Culture and Sport/Municipal Development Fund;;https://projects.worldbank.org/en/projects-operations/project-detail/P168481;2019-05-29T00:00:00Z;2026-03-31T00:00:00Z;;0
P169252;Africa West;Burkina Faso;Active;Scale-Up and Responding to the needs of Refugees and Host Communities;The PDO is to increase access of poor and vulnerable households to safety nets and to lay the foundations for an adaptive safety net  system in Burkina Faso.;Ministry of Women, National Solidarity and Family, Ministry of Women, National Solidarity, the Family and Humanitarian Action;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P169252;2019-05-29T00:00:00Z;;;0
P165737;Europe and Central Asia;Republic of Uzbekistan;Active;Promoting Early Childhood Development Project;The project development objectives are to increase access to early childhood education, improve the quality of learning environments  in selected public preschools, and enable a systematic measurement of education quality for informed decision-making.;Ministry of Preschool Education;;https://projects.worldbank.org/en/projects-operations/project-detail/P165737;2019-05-29T00:00:00Z;2024-12-31T00:00:00Z;;0
P167996;Latin America and Caribbean;Republic of Paraguay;Active;Paraguay Public Health Sector Strengthening;"The objectives of this Project are to: (i) strengthen the public primary health care micro-networks; (ii) expand access to quality p rimary health care services for the population covered by the MSPBS; and (iii) strengthen the national health system to respond to t he emergency of the COVID-19 pandemic.";Ministry of Public Health and Social Welfare;;https://projects.worldbank.org/en/projects-operations/project-detail/P167996;2019-05-28T00:00:00Z;2024-12-31T00:00:00Z;;0
P168756;Africa East;Democratic Republic of the Congo;Active;DRC Multisectoral Nutrition and Health Project;The development objective of this project is to increase the utilization of nutrition-specific and nutrition-sensitive interventions  targeting children 0-23 months of age and pregnant and lactating women in the project regions and to respond to an eligible crisis or emergency.;National Nutrition Program (PRONANUT);;https://projects.worldbank.org/en/projects-operations/project-detail/P168756;2019-05-28T00:00:00Z;2024-07-04T00:00:00Z;;0
P159710;Latin America and Caribbean;Republic of Guatemala;Active;Guatemala DRM Development Policy Loan with CAT DDO II;The PDO is to help strengthen Guatemala’s legal, institutional and financial framework to manage the impact of adverse natural event s and climate risk.;Ministry of Public Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P159710;2019-05-24T00:00:00Z;2023-03-31T00:00:00Z;;0
P164588;Latin America and Caribbean;Federative Republic of Brazil;Active;Mato Grosso Fiscal Adjustment and Environmental Sustainability DPL;Program Development Objective of this DPL is to support the State of Mato Grosso to (i) regain fiscal sustainability and (ii) increa se institutional capacity for sustainable agriculture, forest conservation and climate change mitigation.;Mato Grosso State Secretariat of Finance (Secretaria de Estado de Fazenda – SEFAZ);;https://projects.worldbank.org/en/projects-operations/project-detail/P164588;2019-05-24T00:00:00Z;2021-12-31T00:00:00Z;;0
P170612;Europe and Central Asia;Republic of Turkey;Active;Sustainable Cities Project 2 - Additional Financing;The Project Development Objective is to improve the access to targeted municipal services in participating municipalities and utilit ies.;Ilbank;;https://projects.worldbank.org/en/projects-operations/project-detail/P170612;2019-05-24T00:00:00Z;;;0
P166941;Europe and Central Asia;Ukraine;Active;Accelerating Private Investment in Agriculture Program;The Program Development Objective is to alleviate select constraints to increased participation of the private sector, in particular  small and medium-sized enterprises (SMEs), in agricultural input and output markets of Ukraine.;Ministry of Agrarian Policy and Food of Ukraine;No;https://projects.worldbank.org/en/projects-operations/project-detail/P166941;2019-05-24T00:00:00Z;2025-06-30T00:00:00Z;;0
P167260;Africa West;Republic of The Gambia;Active;The Gambia Social Safety Net Project;To improve the coordination of social assistance activities, provide temporary social assistance support to rural households in the wake of COVID-19, and increase inclusion of the extreme poor in the Nafa program.;National Nutrition Agency;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P167260;2019-05-24T00:00:00Z;2024-03-29T00:00:00Z;;0
P168180;Europe and Central Asia;Republic of Uzbekistan;Active;Institutional Capacity Building Project;The Project Development Objective is to strengthen public financial management and enable the market operation of the corporate sect or.;Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P168180;2019-05-24T00:00:00Z;2024-11-30T00:00:00Z;;0
P161406;Africa West;Republic of Mali;Active;Strengthening Climate Resilience in Mali Project;The proposed Project Development Objective (PDO) is to improve the provision of and the access to the country’s hydro-meteorological , early warning and emergency response services;Ministry of Security and Civil Protection (MSPC) - Directorate-General for Civil Protection (DGPC);;https://projects.worldbank.org/en/projects-operations/project-detail/P161406;2019-05-23T00:00:00Z;2025-01-17T00:00:00Z;;0
P164336;Africa East;Federal Democratic Republic of Ethiopia;Active;Lowlands Livelihood Resilience Project;To Improve Livelihood Resilience of Pastoral and Agro-Pastoral Communities in Ethiopia;Ministry of Peace;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P164336;2019-05-23T00:00:00Z;2025-10-10T00:00:00Z;;0
P164561;Africa West;Republic of Mali;Active;Mali Deployment of State Resources for Better Service Delivery & COVID-19 Response;The project will improve the availability and timeliness of resources from the central government to Local Governments (LGs), and se rvice centers, as well as the management and accountability of these resources by LGs and service centers.;Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P164561;2019-05-23T00:00:00Z;2024-09-30T00:00:00Z;;0
P167359;Africa West;Republic of Benin;Active;Benin - Stormwater Management and Urban Resilience Project;The proposed Project Development Objective is to reduce flood risks in selected areas of Cotonou and strengthen urban resilience man agement and capacity at the city level.;Ministère du Cadre de Vie;;https://projects.worldbank.org/en/projects-operations/project-detail/P167359;2019-05-23T00:00:00Z;2025-09-30T00:00:00Z;;0
P168544;Middle East and North Africa;West Bank and Gaza;Active;Additional Financing for the Third Municipal Development Project;The project development objective (PDO) is to enhance the institutional capacity of municipalities in the West Bank and Gaza for mor e accountable and sustainable service delivery.;Municipal Development Lending Fund (MDLF);Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P168544;2019-05-23T00:00:00Z;;;0
P169117;Europe and Central Asia;Georgia;Active;Energy Supply Reliability and Financial Recovery;The objectives of the Project are to increase electricity supply reliability in the western part of Georgia, achieve the financial v iability of GSE, and help it access long-term commercial financing.;Georgian State Electrosystem;;https://projects.worldbank.org/en/projects-operations/project-detail/P169117;2019-05-23T00:00:00Z;2024-12-31T00:00:00Z;;0
